TransactionID,Date,Product,amount,place
55,11/26/2023,"Nut - Hazelnut, Ground, Natural",1,ET
56,5/18/2024,Extract - Rum,6,US
57,5/18/2024,Cheese - Brie Roitelet,6,TH
58,7/14/2024,Silicone Parch. 16.3x24.3,3,PG
59,11/11/2023,Mustard - Dijon,10,PG
60,5/18/2024,Veal - Slab Bacon,5,NZ
61,10/27/2023,Bread Base - Italian,3,VE
62,7/13/2024,Cocoa Powder - Dutched,6,EC
63,11/2/2023,Sardines,10,TG
64,11/13/2023,Cake - Sheet Strawberry,1,US
65,10/4/2023,Long Island Ice Tea,4,US
66,7/3/2024,Olives - Nicoise,5,AO
67,1/17/2024,Potatoes - Mini White 3 Oz,2,TR
68,4/3/2024,Sprouts - Bean,6,US
69,9/6/2024,Pants Custom Dry Clean,7,PK
70,9/1/2024,Creamers - 10%,8,US
71,8/22/2024,"Beef - Chuck, Boneless",8,DE
72,12/20/2023,Ham Black Forest,8,MN
73,11/7/2023,"Stock - Beef, White",4,AU
74,10/12/2023,Bread - Sour Batard,8,US
75,11/10/2023,Curry Paste - Madras,10,TC
76,8/29/2024,"Cookies - Oreo, 4 Pack",7,US
77,5/18/2024,Beer - Muskoka Cream Ale,7,TZ
78,12/9/2023,Quinoa,4,AS
79,1/3/2024,Yokaline,4,CA
80,3/31/2024,Butter Balls Salted,4,US
81,1/18/2024,Soho Lychee Liqueur,1,CO
82,12/13/2023,Muffin - Banana Nut Individual,3,CN
83,9/5/2024,"Flour - Bran, Red",4,UA
84,1/5/2024,Cheese - Ermite Bleu,7,BR
85,2/19/2024,Wine - Barolo Fontanafredda,6,PG
86,9/8/2023,Jolt Cola,3,US
87,5/25/2024,Danishes - Mini Raspberry,3,TL
88,9/21/2023,Cake - Mini Cheesecake,5,SY
89,2/18/2024,Sprite - 355 Ml,3,US
90,6/28/2024,"Oil - Shortening,liqud, Fry",6,MH
91,3/17/2024,Nantucket - 518ml,10,AO
92,2/15/2024,Bay Leaf Ground,7,PG
93,5/3/2024,Bagel - Whole White Sesame,8,BR
94,5/1/2024,Nantucket Orange Juice,2,US
95,3/30/2024,Persimmons,9,WS
96,11/4/2023,Mushroom Morel Fresh,3,PG
97,6/15/2024,Red Pepper Paste,1,TW
98,2/26/2024,Blue Curacao - Marie Brizard,7,FI
99,6/5/2024,Soup - Campbells Mushroom,8,US
100,6/7/2024,Pork - Kidney,3,AU
101,7/8/2024,Napkin Colour,4,SS
102,2/5/2024,Cumin - Whole,8,FR
103,7/8/2024,Cake - Mini Cheesecake,7,LS
104,4/9/2024,"Tortillas - Flour, 8",2,PK
105,6/19/2024,Lotus Leaves,1,HR
106,3/25/2024,Muffins - Assorted,9,BS
107,11/22/2023,"Hickory Smoke, Liquid",8,CN
108,1/1/2024,Wine - Sawmill Creek Autumn,4,MX
109,4/4/2024,"Soup - Canadian Pea, Dry Mix",8,TH
110,4/10/2024,"Coke - Diet, 355 Ml",9,RU
111,5/4/2024,Wine - Piper Heidsieck Brut,4,PG
112,6/13/2024,Wine - Cousino Macul Antiguas,9,AU
113,4/26/2024,Foil Wrap,1,PA
114,11/3/2023,Limes,9,MM
115,5/19/2024,Cheese - Augre Des Champs,1,VN
116,2/28/2024,Sole - Fillet,10,DZ
117,10/25/2023,Crab - Imitation Flakes,7,US
118,7/25/2024,"Wine - White, Riesling, Semi - Dry",1,FJ
119,3/20/2024,"Veal - Leg, Provimi - 50 Lb Max",3,BR
120,7/16/2024,Paper Towel Touchless,7,US
121,7/19/2024,Lamb - Loin Chops,6,CO
122,5/1/2024,Scallops 60/80 Iqf,3,CF
123,3/24/2024,"Soup - Campbells, Classic Chix",7,CN
124,1/5/2024,Mushroom - King Eryingii,5,CA
125,6/19/2024,Nestea - Iced Tea,4,NZ
126,4/30/2024,Pepper Squash,1,UA
127,1/27/2024,Pur Value,5,BO
128,12/12/2023,Scallops - U - 10,1,BJ
129,4/17/2024,Worcestershire Sauce,8,AU
130,8/25/2024,Wine - Alicanca Vinho Verde,6,BR
131,12/28/2023,Tart - Pecan Butter Squares,6,PR
132,7/10/2024,"Yogurt - Peach, 175 Gr",10,PF
133,6/21/2024,Soupcontfoam16oz 116con,2,US
134,9/28/2023,Tea - Honey Green Tea,6,US
135,5/20/2024,"Syrup - Monin, Irish Cream",3,IS
136,6/11/2024,Pastry - Cheese Baked Scones,9,HT
137,7/24/2024,Raspberries - Frozen,1,MN
138,12/6/2023,Squash - Acorn,7,NZ
139,10/15/2023,Tea Leaves - Oolong,10,TJ
140,12/17/2023,Milk - Chocolate 250 Ml,9,JP
141,5/6/2024,Beans - Kidney White,7,CA
142,8/17/2024,Cheese - Comte,7,US
143,10/26/2023,"Pepper - White, Whole",8,CR
144,6/12/2024,"Potatoes - Yukon Gold, 80 Ct",5,DE
145,11/17/2023,Bread - Corn Muffaleta Onion,5,US
146,3/22/2024,Miso Paste White,3,AU
147,9/23/2023,Longos - Cheese Tortellini,2,US
148,10/11/2023,"Lid - 10,12,16 Oz",5,US
149,2/2/2024,Cheese - Gouda,5,MM
150,11/9/2023,Peas - Frozen,3,US
151,6/1/2024,"Cup - 6oz, Foam",10,CD
152,10/4/2023,Chocolate - Feathers,1,BF
153,10/29/2023,"Pasta - Lasagna Noodle, Frozen",10,TW
154,2/15/2024,Ecolab - Hobart Washarm End Cap,10,EG
155,11/21/2023,Crackers Cheez It,7,PE
156,10/2/2023,Oil - Sesame,5,PG
157,4/30/2024,Cabbage Roll,8,LY
158,8/18/2024,"Cookies - Oreo, 4 Pack",5,PK
159,1/19/2024,Flavouring - Raspberry,3,US
160,1/7/2024,Appetizer - Lobster Phyllo Roll,8,US
161,1/17/2024,"Veal - Inside Round / Top, Lean",5,ZA
162,7/3/2024,Pop - Club Soda Can,7,DE
163,8/14/2024,Liquid Aminios Acid - Braggs,8,US
164,9/15/2023,"Napkin - Beverge, White 2 - Ply",3,RU
165,4/1/2024,Cheese - Swiss Sliced,9,US
166,6/17/2024,Chips - Doritos,9,PH
167,11/14/2023,"Chilli Paste, Sambal Oelek",1,SR
168,9/9/2023,Onion - Dried,2,TR
169,9/7/2023,Steampan - Half Size Shallow,7,AU
170,4/3/2024,Bandage - Finger Cots,3,CA
171,6/20/2024,"Beans - Black Bean, Canned",8,AU
172,10/15/2023,Pie Shell - 5,1,OM
173,6/12/2024,Spice - Chili Powder Mexican,9,CA
174,8/15/2024,Wine - Two Oceans Sauvignon,4,RU
175,11/8/2023,"Orange - Canned, Mandarin",8,AR
176,2/27/2024,Cinnamon Rolls,2,CG
177,12/20/2023,Magnotta - Bel Paese White,4,GH
178,8/28/2024,Cheese - Swiss,10,MM
179,12/23/2023,Soup - Campbells Bean Medley,2,US
180,11/28/2023,"Nut - Chestnuts, Whole",7,PA
181,2/19/2024,Sprouts - Bean,6,GB
182,12/29/2023,Horseradish - Prepared,7,US
183,5/15/2024,Wine - Cava Aria Estate Brut,6,FR
184,7/24/2024,"Pork - Chop, Frenched",8,CI
185,3/31/2024,Spice - Paprika,1,US
186,5/10/2024,Extract - Rum,9,US
187,11/24/2023,Tahini Paste,3,MV
188,9/20/2023,Pork - Ground,1,CN
189,9/6/2024,Crab - Meat Combo,5,PG
190,1/17/2024,Mushroom - Crimini,1,AR
191,5/24/2024,Shrimp - 100 / 200 Cold Water,10,SE
192,3/25/2024,Icecream Bar - Del Monte,10,BR
193,2/11/2024,"Chicken - Wings, Tip Off",4,BW
194,7/25/2024,Tea - Mint,6,SA
195,9/17/2023,Bread - French Baquette,7,US
196,9/24/2023,"Beef - Ground, Extra Lean, Fresh",5,BQ
197,5/23/2024,Island Oasis - Cappucino Mix,5,ID
198,11/27/2023,"Tabasco Sauce, 2 Oz",10,MH
199,8/31/2024,Beer - Pilsner Urquell,1,CA
200,6/18/2024,"Shrimp - Baby, Cold Water",2,US
201,4/26/2024,"Cookies - Oreo, 4 Pack",5,US
202,1/9/2024,Pork - Kidney,1,DE
203,7/11/2024,Tea - Herbal Orange Spice,5,BS
204,1/23/2024,Sultanas,2,US
205,12/25/2023,Bread - Bistro Sour,4,US
206,4/29/2024,Red Currant Jelly,5,ZA
207,8/2/2024,Bay Leaf,6,GB
208,6/20/2024,Cake - Mini Cheesecake,3,US
209,8/16/2024,Juice - Happy Planet,7,PG
210,10/25/2023,Lambcasing,3,CA
211,11/7/2023,Chicken - Bones,9,HU
212,12/25/2023,Coffee - French Vanilla Frothy,9,VU
213,7/31/2024,Soup - Campbells Asian Noodle,6,US
214,10/19/2023,Radish,6,US
215,3/23/2024,"Club Soda - Schweppes, 355 Ml",5,NA
216,6/14/2024,Appetizer - Mushroom Tart,7,IT
217,4/7/2024,Lettuce - Lambs Mash,2,UG
218,11/11/2023,Oil - Margarine,8,IT
219,10/22/2023,Sardines,5,US
220,1/1/2024,Island Oasis - Pina Colada,7,US
221,8/5/2024,Kolrabi,1,CU
222,6/30/2024,Tomato Puree,5,RU
223,9/21/2023,Beer - True North Strong Ale,9,BR
224,11/25/2023,Container - Hngd Cll Blk 7x7x3,1,DO
225,10/1/2023,Basil - Fresh,8,US
226,2/13/2024,Cookie - Dough Variety,2,US
227,8/19/2024,Jolt Cola - Red Eye,6,US
228,4/21/2024,Cheese - Oka,10,NA
229,12/3/2023,Nantucket Cranberry Juice,4,US
230,8/10/2024,Petite Baguette,10,NG
231,10/1/2023,Liqueur - Melon,2,CA
232,10/24/2023,Chocolate - White,6,SR
233,4/12/2024,Soup - Base Broth Beef,6,EG
234,4/28/2024,Cabbage - Savoy,6,IN
235,10/28/2023,Chicken - Whole Roasting,3,FJ
236,3/30/2024,Snails - Large Canned,3,US
237,11/13/2023,Calaloo,3,GB
238,10/28/2023,Syrup - Monin - Granny Smith,2,BR
239,11/21/2023,"Veal - Insides, Grains",2,US
240,8/1/2024,Pear - Halves,4,RU
241,9/25/2023,Lid - 0090 Clear,2,PH
242,11/28/2023,Beer - Heinekin,10,RU
243,6/23/2024,Buffalo - Striploin,8,DE
244,6/20/2024,Yeast Dry - Fleischman,2,BR
245,6/4/2024,Gelatine Leaves - Envelopes,4,KE
246,5/3/2024,Glove - Cutting,2,PG
247,12/24/2023,Beef - Salted,5,ID
248,5/29/2024,Skewers - Bamboo,10,NA
249,6/19/2024,"Doilies - 8, Paper",1,NR
250,2/5/2024,Compound - Passion Fruit,10,US
251,9/27/2023,Appetizer - Sausage Rolls,3,JP
252,9/19/2023,Coffee Decaf Colombian,4,US
253,5/22/2024,Island Oasis - Mango Daiquiri,4,PA
254,5/19/2024,Higashimaru Usukuchi Soy,7,US
255,10/27/2023,"Pasta - Detalini, White, Fresh",6,CI
256,12/28/2023,Lime Cordial - Roses,2,GB
257,12/28/2023,Cheese - Colby,4,TT
258,9/27/2023,Lettuce - Boston Bib,9,GB
259,5/23/2024,Energy Drink,4,CA
260,5/19/2024,Turnip - Mini,10,IN
261,10/19/2023,Propel Sport Drink,1,NO
262,8/24/2024,Lychee - Canned,4,SA
263,11/14/2023,"Capon - Breast, Double, Wing On",1,PY
264,12/19/2023,"Pasta - Shells, Medium, Dry",5,MY
265,3/28/2024,Magnotta Bel Paese Red,4,AU
266,2/26/2024,Kolrabi,3,KR
267,11/27/2023,"Turkey - Breast, Smoked",5,MM
268,9/23/2023,Sweet Pea Sprouts,5,CA
269,10/16/2023,Bread - White Mini Epi,7,PG
270,1/14/2024,Eggplant - Asian,4,AU
271,1/15/2024,Wine - Cave Springs Dry Riesling,8,NZ
272,9/13/2023,Capers - Ox Eye Daisy,1,US
273,8/19/2024,Snapple - Iced Tea Peach,9,US
274,7/28/2024,Cheese - Swiss Sliced,7,AU
275,8/20/2024,Wine - Magnotta - Belpaese,9,RU
276,4/16/2024,"Lamb - Shoulder, Boneless",6,US
277,5/18/2024,Wine - Fino Tio Pepe Gonzalez,4,ML
278,11/12/2023,Steamers White,1,AT
279,9/9/2023,Anchovy Paste - 56 G Tube,1,VN
280,10/11/2023,Cheese - Gouda Smoked,10,SB
281,7/12/2024,Sugar - Individual Portions,2,ID
282,11/5/2023,Scallops - In Shell,3,RU
283,9/28/2023,Cookies Almond Hazelnut,10,FJ
284,10/5/2023,Pastry - Banana Muffin - Mini,4,MY
285,6/30/2024,Coffee - Ristretto Coffee Capsule,1,PA
286,3/13/2024,"Mushroom - Enoki, Dry",4,CA
287,4/11/2024,Pate - Cognac,9,FI
288,4/1/2024,Huck Towels White,6,US
289,3/12/2024,Basil - Pesto Sauce,1,DE
290,4/18/2024,"Veal - Brisket, Provimi,bnls",9,US
291,11/14/2023,Beef - Inside Round,9,US
292,4/20/2024,Beans - Soya Bean,8,GB
293,6/19/2024,Flour - Semolina,2,JP
294,6/23/2024,"Pasta - Rotini, Dry",7,AU
295,9/29/2023,Cheese - Bocconcini,8,MG
296,3/24/2024,Veal - Loin,3,US
297,12/16/2023,Cherries - Fresh,3,AO
298,7/10/2024,Spinach - Baby,4,US
299,8/20/2024,"Wine - White, Antinore Orvieto",6,LS
300,8/1/2024,"Juice - Grape, White",9,IT
301,12/12/2023,"Lamb - Whole Head Off,nz",1,CA
302,10/4/2023,Tea - Grapefruit Green Tea,3,VE
303,5/17/2024,Beer - Paulaner Hefeweisse,1,BR
304,1/3/2024,Tuna - Sushi Grade,6,PL
305,12/31/2023,Sprouts - Onion,2,CN
306,3/20/2024,Wine - Pinot Grigio Collavini,5,CN
307,11/23/2023,Tomatoes - Orange,2,ID
308,3/4/2024,Steam Pan - Half Size Deep,1,RU
309,11/17/2023,Curry Paste - Green Masala,1,IN
310,10/11/2023,Tomato - Peeled Italian Canned,8,CN
311,2/24/2024,Bread Foccacia Whole,1,US
312,6/4/2024,Plaintain,5,JP
313,6/29/2024,Beef - Tenderloin - Aa,6,RU
314,3/30/2024,Wine - Peller Estates Late,1,US
315,8/26/2024,Soup - Campbells,1,SA
316,5/12/2024,Eel - Smoked,3,US
317,2/11/2024,Lobster - Live,3,KE
318,12/4/2023,Juice - Happy Planet,3,NG
319,2/17/2024,Beer - Mcauslan Apricot,1,AU
320,10/29/2023,Edible Flower - Mixed,8,AT
321,2/20/2024,"7up Diet, 355 Ml",1,CU
322,3/10/2024,Tuna - Sushi Grade,2,ID
323,8/3/2024,Flour - Fast / Rapid,2,US
324,11/11/2023,Tea - Decaf 1 Cup,9,PT
325,1/23/2024,Garam Marsala,3,CO
326,5/10/2024,Neckerchief Blck,4,US
327,3/20/2024,"Fish - Artic Char, Cold Smoked",8,PG
328,4/21/2024,Beer - Corona,7,US
329,7/16/2024,"Napkin - Beverge, White 2 - Ply",3,IN
330,10/30/2023,Cheese - Augre Des Champs,2,CN
331,9/20/2023,Mayonnaise - Individual Pkg,4,CA
332,10/24/2023,"Pork - Sausage, Medium",1,US
333,1/24/2024,Bread - Calabrese Baguette,9,GT
334,10/8/2023,"Jam - Blackberry, 20 Ml Jar",4,US
335,7/27/2024,"Coffee - Colombian, Portioned",6,AR
336,8/21/2024,Straws - Cocktale,9,US
337,10/30/2023,Wine - Fat Bastard Merlot,4,ZM
338,8/17/2024,Chives - Fresh,8,CN
339,7/31/2024,"Salmon - Atlantic, No Skin",6,BR
340,4/25/2024,Lemonade - Pineapple Passion,7,KI
341,8/6/2024,Ecolab - Solid Fusion,10,ZA
342,9/20/2023,"Flour - Bran, Red",2,DE
343,6/13/2024,"Tabasco Sauce, 2 Oz",4,US
344,9/30/2023,Nougat - Paste / Cream,4,ZA
345,3/31/2024,Bread - Focaccia Quarter,10,US
346,9/28/2023,"Tortillas - Flour, 12",9,US
347,6/3/2024,"Salsify, Organic",4,US
348,11/30/2023,Parsley - Dried,4,US
349,1/31/2024,Table Cloth 62x114 White,4,BZ
350,3/5/2024,Oyster - In Shell,10,IT
351,8/29/2024,Spice - Chili Powder Mexican,6,CA
352,2/27/2024,"Champagne - Brights, Dry",10,CO
353,10/17/2023,Sansho Powder,10,HN
354,6/23/2024,Ecolab - Hobart Washarm End Cap,1,US
355,7/7/2024,Longos - Burritos,6,DZ
356,4/9/2024,"Jam - Marmalade, Orange",3,US
357,12/12/2023,Vaccum Bag - 14x20,8,PG
358,4/8/2024,Soup - Campbells Beef Stew,3,ZA
359,8/28/2024,Lamb - Sausage Casings,1,NA
360,11/23/2023,"Roe - Lump Fish, Black",10,CN
361,5/14/2024,Persimmons,9,RO
362,1/23/2024,Wine - Chateau Timberlay,8,PG
363,10/28/2023,Glass - Juice Clear 5oz 55005,3,BF
364,5/10/2024,"Pasta - Shells, Medium, Dry",1,CA
365,12/21/2023,"Quail - Eggs, Fresh",9,US
366,8/6/2024,Soup - Campbells Beef Noodle,2,PL
367,8/20/2024,"Extract - Vanilla,artificial",2,IR
368,5/3/2024,Almonds Ground Blanched,5,US
369,4/20/2024,Sauce - Rosee,3,HN
370,7/5/2024,"Melon - Watermelon, Seedless",8,IS
371,5/20/2024,Beef Wellington,8,AU
372,8/29/2024,Appetizer - Cheese Bites,2,US
373,11/22/2023,Relish,6,AU
374,12/23/2023,Appetizer - Sausage Rolls,9,BR
375,11/27/2023,Wine - Pinot Noir Stoneleigh,3,US
376,3/4/2024,Chicken - Whole Roasting,5,US
377,10/15/2023,Lamb Rack - Ontario,4,IN
378,2/15/2024,Squash - Pepper,7,GB
379,6/16/2024,Pepperoni Slices,8,PG
380,6/17/2024,Horseradish - Prepared,7,MA
381,4/19/2024,Cheese - Oka,5,CU
382,7/16/2024,Wine - Chenin Blanc K.w.v.,10,GB
383,9/2/2024,Cup - 4oz Translucent,1,RU
384,10/22/2023,"Olives - Black, Pitted",10,US
385,10/1/2023,Puff Pastry - Slab,9,US
386,5/18/2024,"Veal - Brisket, Provimi, Bone - In",4,MR
387,7/18/2024,Melon - Cantaloupe,2,AF
388,10/14/2023,Beef - Rib Eye Aaa,2,MX
389,11/2/2023,"Wine - Red, Metus Rose",10,AR
390,3/5/2024,"Split Peas - Yellow, Dry",8,CA
391,1/6/2024,Beef - Kobe Striploin,2,PG
392,9/14/2023,Muffin Batt - Choc Chk,3,MG
393,3/21/2024,Lamb - Shoulder,6,US
394,11/6/2023,Chinese Foods - Cantonese,3,BR
395,10/26/2023,Eggplant - Regular,1,TD
396,8/2/2024,Chocolate - Semi Sweet,4,MX
397,2/13/2024,"Water - Mineral, Natural",2,ID
398,10/6/2023,Sobe - Orange Carrot,2,GT
399,11/8/2023,Chocolate - Mi - Amere Semi,4,CO
400,10/3/2023,Napkin White,1,GR
401,5/28/2024,Onions - Vidalia,2,US
402,5/27/2024,Compound - Passion Fruit,4,IN
403,12/6/2023,Whmis - Spray Bottle Trigger,7,JP
404,8/3/2024,Cranberries - Dry,3,RU
405,5/10/2024,Yeast Dry - Fleischman,1,US
406,5/15/2024,"Pasta - Elbows, Macaroni, Dry",8,GT
407,1/30/2024,"Octopus - Baby, Cleaned",5,BR
408,5/9/2024,Soup - Campbells Chicken,3,AU
409,7/27/2024,"Chocolate - Milk, Callets",3,US
410,8/25/2024,"Chicken - Wings, Tip Off",6,UZ
411,6/2/2024,"Wine - White, Riesling, Henry Of",1,US
412,10/31/2023,Squid - U 5,5,RU
413,2/14/2024,"Crush - Orange, 355ml",2,TH
414,12/30/2023,Onions - Vidalia,2,US
415,1/3/2024,Broom Handle,1,ZM
416,8/3/2024,"Soup - Campbells, Spinach Crm",3,US
417,8/9/2024,Walkers Special Old Whiskey,3,TH
418,4/9/2024,Lemon Pepper,5,CA
419,5/28/2024,"Artichoke - Hearts, Canned",2,NP
420,11/8/2023,"Liqueur Banana, Ramazzotti",7,BR
421,9/20/2023,"Beans - Fava, Canned",9,CA
422,5/14/2024,Samosa - Veg,3,EG
423,5/8/2024,Wine - Blue Nun Qualitatswein,5,PG
424,6/17/2024,Wine - Prem Select Charddonany,6,RU
425,6/12/2024,Muffin Hinge - 211n,3,US
426,5/30/2024,Wine - Toasted Head,2,CM
427,9/26/2023,Soy Protein,2,MT
428,5/30/2024,"Soup - Campbells, Beef Barley",9,GB
429,7/5/2024,Ostrich - Prime Cut,2,CA
430,3/24/2024,Coffee Cup 12oz 5342cd,7,BZ
431,10/6/2023,"Wine - Magnotta, White",10,PG
432,5/15/2024,Foil - Round Foil,7,US
433,11/13/2023,Wine - Muscadet Sur Lie,6,US
434,1/12/2024,Rabbit - Whole,7,PG
435,2/14/2024,Wine - Tio Pepe Sherry Fino,1,PG
436,10/2/2023,Chinese Foods - Pepper Beef,6,PK
437,2/23/2024,Kahlua,2,SE
438,4/17/2024,Muffin Hinge - 211n,6,US
439,12/13/2023,Tart - Pecan Butter Squares,4,CN
440,7/13/2024,"Juice - Clam, 46 Oz",10,IN
441,7/30/2024,"Mushroom - Shitake, Dry",3,MR
442,6/12/2024,Beer - Fruli,6,US
443,4/7/2024,The Pop Shoppe - Cream Soda,10,US
444,1/2/2024,Basil - Pesto Sauce,9,MY
445,4/29/2024,Shallots,8,MY
446,2/29/2024,Shrimp - 150 - 250,9,US
447,4/9/2024,Wine - Rioja Campo Viejo,10,AU
448,7/22/2024,Pastry - Chocolate Marble Tea,7,PT
449,4/9/2024,Squid - U - 10 Thailand,4,RU
450,1/20/2024,Straw - Regular,1,AU
451,2/10/2024,Ice Cream - Chocolate,8,AR
452,3/23/2024,Table Cloth 91x91 Colour,9,CN
453,7/23/2024,Crawfish,4,SE
454,7/29/2024,"Juice - Orange, 341 Ml",3,MR
455,5/10/2024,Cornflakes,7,IN
456,8/19/2024,Cherries - Fresh,10,CA
457,6/7/2024,Clams - Canned,7,GN
458,2/22/2024,Salmon - Sockeye Raw,3,RU
459,3/27/2024,"Cheese - Brie, Triple Creme",2,NO
460,4/27/2024,Country Roll,3,US
461,1/22/2024,Oil - Macadamia,5,MR
462,11/17/2023,Bar Mix - Lime,7,US
463,7/24/2024,Steam Pan Full Lid,9,CA
464,3/1/2024,Artichoke - Fresh,7,AE
465,12/5/2023,Icecream - Dstk Super Cone,4,LS
466,12/26/2023,Onion Powder,7,BR
467,10/9/2023,Jagermeister,3,US
468,7/31/2024,Towel Multifold,4,BG
469,7/30/2024,"Ranchero - Primerba, Paste",8,AU
470,3/7/2024,Cheese - Brie Roitelet,5,US
471,10/9/2023,French Kiss Vanilla,6,US
472,5/11/2024,Cocoa Powder - Dutched,2,US
473,4/7/2024,"Pasta - Canelloni, Single Serve",9,PG
474,12/2/2023,Sole - Fillet,5,US
475,5/5/2024,Pastry - Carrot Muffin - Mini,6,ID
476,12/7/2023,"Pasta - Cannelloni, Sheets, Fresh",1,SE
477,3/8/2024,Veal - Striploin,4,PG
478,6/17/2024,Ecolab - Hobart Washarm End Cap,9,US
479,6/25/2024,Cookie Dough - Double,10,US
480,8/7/2024,Maple Syrup,1,GQ
481,4/1/2024,Wine - Duboeuf Beaujolais,1,GB
482,8/6/2024,"Soup - Campbells, Spinach Crm",6,US
483,3/17/2024,"Star Anise, Whole",8,FR
484,9/2/2024,"Bread - Rolls, Corn",1,US
485,1/29/2024,Pepper - Chili Powder,6,FR
486,7/29/2024,Table Cloth 62x120 White,3,RU
487,5/26/2024,"Wine - Red, Concha Y Toro",4,AU
488,12/20/2023,Bread Base - Toscano,5,US
489,4/22/2024,Trueblue - Blueberry 12x473ml,3,BR
490,3/29/2024,Stock - Fish,8,RU
491,2/1/2024,Compound - Mocha,4,MX
492,7/23/2024,Appetiser - Bought,7,US
493,5/23/2024,Danishes - Mini Raspberry,5,BF
494,4/7/2024,Pop - Club Soda Can,10,SN
495,4/15/2024,Soup V8 Roasted Red Pepper,1,US
496,10/5/2023,Flour - Bread,10,AU
497,9/27/2023,Dip - Tapenade,1,DE
498,6/1/2024,Longos - Chicken Cordon Bleu,3,TW
499,12/27/2023,"Crab - Claws, Snow 16 - 24",3,BW
500,10/6/2023,Canada Dry,1,PG
501,4/8/2024,Wine - Jafflin Bourgongone,10,CA
502,4/26/2024,Crab Meat Claw Pasteurise,3,US
503,1/31/2024,Muffin - Carrot Individual Wrap,7,MM
504,4/30/2024,Amaretto,3,US
505,10/21/2023,Pop Shoppe Cream Soda,6,CU
506,9/26/2023,Otomegusa Dashi Konbu,8,RU
507,5/21/2024,Extract - Raspberry,6,PE
508,5/24/2024,Pork - European Side Bacon,3,US
509,8/14/2024,Sauce - Rosee,1,ID
510,12/17/2023,Cookie Trail Mix,3,PG
511,6/12/2024,Apple - Custard,5,US
512,6/2/2024,Paper Towel Touchless,2,BS
513,11/10/2023,"Red Snapper - Fillet, Skin On",1,US
514,12/16/2023,Vanilla Beans,10,RU
515,5/12/2024,Milkettes - 2%,6,US
516,8/16/2024,Devonshire Cream,10,BR
517,8/22/2024,Pastry - Carrot Muffin - Mini,9,KZ
518,4/20/2024,"Turnip - White, Organic",9,TD
519,5/4/2024,Wine - Port Late Bottled Vintage,8,US
520,4/7/2024,"Nut - Almond, Blanched, Sliced",7,BS
521,4/13/2024,Pail For Lid 1537,3,US
522,2/15/2024,Sour Puss - Tangerine,10,CI
523,6/27/2024,Lotus Leaves,6,US
524,12/21/2023,Bread - Triangle White,7,IN
